Item_Fatura,Empresa,Centro,Data_Criacao,Fornecedor,Nome_Fornecedor,Doc_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preço_Contrato,Preço_Fatura,Montante,Item_Contrato,Data_Emissao,Valor_NF_c/_Imposto,Valor_NF_s/_Imposto,ICMS,PIS,COFINS,ICMS_Diferido,IPI
2,483,FAS,28/4/2025,101517,FORNECEDOR,4508653530,20,484005920R,PEÇA,837425-1,"40,000","186,96","206,02","762,40",180,24/4/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
2,483,FAS,3/5/2025,101517,FORNECEDOR,4508661912,20,484005920R,PEÇA,838047-1,"40,000","186,96","206,02","762,40",180,30/4/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
1,483,FAS,13/5/2025,101517,FORNECEDOR,4508678912,10,484005920R,PEÇA,838879-1,"80,000","186,96","206,02","1.524,80",180,9/5/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
1,483,FVU,4/4/2025,102294,FORNECEDOR,4508608880,10,540345079R,PEÇA,000207093-1,"280,000","0,62","0,70","22,40",100,2/4/2025,"R$ 0,77","0,59",12.0,"2,3","10,8",SIM,nan
2,483,FVU,4/4/2025,102294,FORNECEDOR,4508608880,20,543219608R,PEÇA,000207093-1,"280,000","0,62","0,70","22,40",110,2/4/2025,"R$ 0,77","0,59",12.0,"2,3","10,8",SIM,nan
1,483,FAS,20/5/2025,104535,FORNECEDOR,4508559301,10,546111085R,PEÇA,354462-2,"81,000","84,62","88,20","289,98",10,27/2/2025,"R$ 112,00","R$ 89,44",12.0,"1,65","7,6",SIM,0
1,483,SJP,22/4/2025,112619,FORNECEDOR,4508589516,10,62010J571R,PEÇA,808005-1,"168,000","65,73","66,41","114,24",10,20/3/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
5,483,SJP,10/4/2025,112619,FORNECEDOR,4508601034,50,62010J571R,PEÇA,808780-1,"252,000","65,73","66,41","171,36",10,27/3/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
4,483,SJP,25/5/2025,112619,FORNECEDOR,4508621211,40,62010J571R,PEÇA,809409-1,"252,000","65,73","66,41","171,36",10,2/4/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
3,483,SJP,24/4/2025,112619,FORNECEDOR,4508626165,30,62010J571R,PEÇA,810093-1,"42,000","65,73","66,41","28,56",10,8/4/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
1,483,SJP,9/5/2025,112619,FORNECEDOR,4508662395,10,62010J571R,PEÇA,811604-1,"42,000","65,73","66,41","28,56",10,24/4/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
1,483,SJP,16/5/2025,112619,FORNECEDOR,4508662400,10,62010J571R,PEÇA,812224-1,"252,000","65,73","66,41","171,36",10,30/4/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
1,483,SJP,8/5/2025,112619,FORNECEDOR,4508662405,10,62010J571R,PEÇA,812236-1,"210,000","65,73","66,41","142,80",10,30/4/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
1,483,SJP,27/5/2025,112619,FORNECEDOR,4508674524,10,62010J571R,PEÇA,812850-1,"420,000","65,73","66,41","285,60",10,8/5/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
1,483,SJP,26/5/2025,112619,FORNECEDOR,4508691026,10,62010J571R,PEÇA,813562-1,"420,000","65,73","66,41","285,60",10,15/5/2025,"R$ 83,88","R$ 66,98",12.0,"1,65","7,6",SIM,"3,25"
11,483,FAS,23/5/2025,108060,FORNECEDOR,4508700813,80,62010W823R,PEÇA,000047707-3,"1,000","601,39","662,69","61,30",50,23/5/2025,"R$ 662,69","601,39",0.0,"1,65","7,6",nan,nan
1,483,FAS,6/5/2025,133051,FORNECEDOR,4508666961,10,488109327R,PEÇA,000112714-0,"13,000","960,96","1.758,45","10.367,37",130,6/5/2025,"R$ 1.937,69","R$ 1.758,45",0.0,"1,65","7,6",SIM,nan
1,483,FAS,14/5/2025,133051,FORNECEDOR,4508682195,10,488109327R,PEÇA,000112755-0,"24,000","960,96","1.758,45","19.139,76",130,12/5/2025,"R$ 1.937,69","R$ 1.758,45",0.0,"1,65","7,6",SIM,nan
21,483,FAS,23/5/2025,108060,FORNECEDOR,4508700870,120,62010W823R,PEÇA,000047709-3,"4,000","601,39","662,69","245,20",50,23/5/2025,"R$ 662,69","601,39",0.0,"1,65","7,6",nan,nan
1,483,FAS,23/4/2025,133453,FORNECEDOR,4508583315,10,638424203R,PEÇA,44279-1,"23,000","46,46","73,83","629,51",10,nan,"R$ 78,80","R$ 71,51",0.0,"1,65","7,6",SIM,"3,25"
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508598899,80,620223601R,PEÇA,000046964-3,"6,000","199,51","202,55","18,24",2000,28/3/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508599229,90,620223601R,PEÇA,000046966-3,"8,000","199,51","202,55","24,32",2000,28/3/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508599624,80,620223601R,PEÇA,000046970-3,"7,000","199,51","202,55","21,28",2000,28/3/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508599667,60,620223601R,PEÇA,000046972-3,"1,000","199,51","202,56","3,05",2000,28/3/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508599847,50,620223601R,PEÇA,000046981-3,"1,000","199,51","202,56","3,05",2000,28/3/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508604331,100,620223601R,PEÇA,000047005-3,"7,000","199,51","202,55","21,28",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508604440,70,620223601R,PEÇA,000047006-3,"4,000","199,51","202,55","12,16",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508604504,80,620223601R,PEÇA,000047008-3,"6,000","199,51","202,55","18,24",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508604623,60,620223601R,PEÇA,000047010-3,"5,000","199,51","202,55","15,20",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508604670,60,620223601R,PEÇA,000047011-3,"3,000","199,51","202,55","9,12",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508604743,70,620223601R,PEÇA,000047013-3,"2,000","199,51","202,55","6,08",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508604757,40,620223601R,PEÇA,000047014-3,"1,000","199,51","202,56","3,05",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508604769,70,620223601R,PEÇA,000047015-3,"6,000","199,51","202,55","18,24",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,1/4/2025,108060,FORNECEDOR,4508605054,60,620223601R,PEÇA,000047019-3,"4,000","199,51","202,55","12,16",2000,1/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508604231,90,620223601R,PEÇA,000047021-3,"8,000","199,51","202,55","24,32",2000,2/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508606087,60,620223601R,PEÇA,000047022-3,"1,000","199,51","202,56","3,05",2000,2/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,3/4/2025,108060,FORNECEDOR,4508605928,70,620223601R,PEÇA,000047026-3,"2,000","199,51","202,55","6,08",2000,2/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508608222,90,620223601R,PEÇA,000047033-3,"4,000","199,51","202,55","12,16",2000,2/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508607776,70,620223601R,PEÇA,000047037-3,"5,000","199,51","202,55","15,20",2000,2/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508607532,80,620223601R,PEÇA,000047039-3,"3,000","199,51","202,55","9,12",2000,2/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
